"","Image_ID","Order","Taxon","Band1","Red_Mean","Red_Mode","Red_Standard_Dev","Band_2","Green_Mean","Green_Mode","Green_Standard Dev","Band_3","Blue_Mean","Blue_Mode","Blue_Standard_Dev","Petal_Count","Infloresence_stature","species_numb","color","L","a","b"
"125","medium.jpg?1591997361.jpg",127,"L. nevadensis","red",216.79,216,7.423,"green",219.07,224,6.795,"blue",196.69,205,10.717,8,"Ascending",1,"honeydew",2908.11343241977,-102.119301733204,234.362431267019
"126","medium.jpg?1592248100.jpg",128,"L. nevadensis","red",215.969,217,3.652,"green",220.805,224,3.805,"blue",226.215,227,7.598,8,"Decumbent",1,"honeydew",2935.19957376821,-17.389324860476,-71.9304832932394
"127","medium.jpg?1592335679.jpg",129,"L. nevadensis","red",226.372,236,10.154,"green",227.623,230,9.267,"blue",222.739,229,14.481,6,"Decumbent",1,"honeydew",2989.88373490399,-28.1607779197355,47.4108551802082
"128","medium.jpg?1592356034.jpg",130,"L. nevadensis","red",198.626,199,2.786,"green",196.56,199,3.035,"blue",214.297,218,7.268,8,"Decumbent",1,"honeydew",2758.80122110275,88.7261189735042,-187.140089891372
"129","medium.jpg?1592404620.jpg",131,"L. nevadensis","red",185.977,186,5.009,"green",184.898,183,4.743,"blue",178.256,174,7.403,9,"Ascending",1,"honeydew",2639.99550967719,-17.5719231297258,79.4835755048048
"130","medium.jpg?1592465824.jpg",132,"L. nevadensis","red",223.418,228,8.45,"green",229.705,231,8.289,"blue",224.625,227,9.514,8,"Ascending",1,"honeydew",2996.49567708547,-68.5343929262032,34.05772122697
"131","medium.jpg?1592525421.jpg",133,"L. nevadensis","red",231.868,235,6.205,"green",240.785,241,6.73,"blue",237.826,243,7.077,6,"Ascending",1,"honeydew",3079.98478988916,-79.6578457934878,3.86278743111674
"132","medium.jpg?1593377296.jpg",134,"L. nevadensis","red",202.667,225,24.821,"green",211.98,233,22.399,"blue",195.495,161,26.58,8,"Ascending",1,"honeydew",2840.00167805153,-140.03846085188,150.505190642466
"133","medium.jpg?1593972068.jpg",135,"L. nevadensis","red",151.037,149,8.351,"green",160.548,158,8.617,"blue",143.864,152,10.655,9,"Decumbent",1,"honeydew",2392.91580250139,-159.590561757966,170.902550766617
"134","medium.jpg?1594070764.jpg",136,"L. nevadensis","red",189.807,192,7.854,"green",203.424,192,9.18,"blue",212.765,218,5.266,9,"Ascending",1,"honeydew",2778.36099792881,-72.8832893970974,-144.258525724435
"135","medium.jpg?1612745659.jpg",137,"L. nevadensis","red",246.872,250,4.222,"green",248.712,251,3.621,"blue",239.712,244,5.658,9,"Ascending",1,"honeydew",3150.82684761733,-46.494438436584,85.9109801104125
"136","medium.jpg?1623509494.jpg",138,"L. nevadensis","red",246.247,254,7.396,"green",245.242,254,8.31,"blue",244.595,254,9.002,8,"Ascending",1,"honeydew",3134.80809733946,5.3030331756414,9.55640776422797
"137","medium.jpg?1624194548.jpg",139,"L. nevadensis","red",253.138,255,4.092,"green",252.6,255,5.566,"blue",251.435,255,6.917,8,"Ascending",1,"honeydew",3189.94163392318,-0.138775574336947,13.2716227394788
"138","medium.jpg?1625522727.jpg",141,"L. nevadensis","red",203.622,203,3.894,"green",204.359,203,3.565,"blue",205.385,211,6.916,9,"Decumbent",1,"honeydew",2806.09238285872,-1.99737890331519,-13.5432096272922
"139","medium.jpg?1625593849.jpg",142,"L. nevadensis","red",214.493,205,17.673,"green",228.047,222,16.45,"blue",225.853,253,18.391,9,"Ascending",1,"honeydew",2971.28126262768,-115.066472552568,-17.8917355203581
"140","medium.jpg.jpg",143,"L. nevadensis","red",190.864,205,20.676,"green",179.382,199,25.868,"blue",167.778,194,28.321,9,"Ascending",1,"honeydew",2611.60152012374,53.9486340549651,174.010499796459
"141","SJR01",NA,"San Juan Ridge population","red",174.973,172,8.616,"green",153.559,157,5.97,"blue",236.329,255,13.873,12,"Erect",2,"violet",2484.68984148347,556.562295524326,-853.857409946526
"142","SJR02",NA,"San Juan Ridge population","red",192.258,189,5.112,"green",179.28,182,4.795,"blue",248.875,255,4.852,12,"Erect",2,"violet",2677.7985562243,404.935559547701,-709.202510132641
"143","SJR03",NA,"San Juan Ridge population","red",205.749,205,7.189,"green",146.34,148,9.707,"blue",247.127,255,7.377,11,"Erect",2,"violet",2530.64630648826,921.471471265711,-903.45121925952
"144","SJR04",NA,"San Juan Ridge population","red",222.282,228,7.76,"green",211.632,219,9.458,"blue",254.918,255,0.517,11,"Erect",2,"violet",2919.45641630268,254.096581504825,-417.274684449127
"145","SJR05",NA,"San Juan Ridge population","red",200.46,196,8.03,"green",187.851,184,9.445,"blue",243.142,255,8.952,11,"Erect",2,"violet",2737.2728537333,332.688495298788,-553.872786793612
"146","SJR06",NA,"San Juan Ridge population","red",216.963,213,5.557,"green",206.912,204,5.935,"blue",254.776,255,1.006,11,"Erect",2,"violet",2883.54129180512,270.654499608016,-469.035800982407
"147","SJR07",NA,"San Juan Ridge population","red",154.982,139,15.057,"green",145.846,150,15.221,"blue",190.523,214,19.259,12,"Erect",2,"violet",2349.44848127711,288.716420005111,-498.158939608161
"148","SJR08",NA,"San Juan Ridge population","red",172.086,181,11.897,"green",160.814,170,12.756,"blue",227.799,237,14.946,11,"Erect",2,"violet",2511.13168188154,397.840113153265,-714.020354777097
"149","SJR09",NA,"San Juan Ridge population","red",144.403,150,10.084,"green",98.741,110,14.63,"blue",168.582,174,11.14,12,"Erect",2,"violet",2013.89582678317,781.84437902901,-708.614646416691
"150","SJR10",NA,"San Juan Ridge population","red",248.172,255,4.828,"green",226.94,227,15.219,"blue",246.383,255,5.527,13,"Erect",2,"violet",3045.58094647836,235.527998974018,-134.393616666226
"151","SJR12",NA,"San Juan Ridge population","red",150.273,153,7.854,"green",122.675,131,11.387,"blue",167.345,171,9.118,12,"Erect",2,"violet",2174.65228349418,469.140627741586,-452.564477260084
"152","SJR13",NA,"San Juan Ridge population","red",175.95,172,7.471,"green",155.215,157,4.849,"blue",240.43,255,12.39,12,"Erect",2,"violet",2500.27872585611,560.717759719156,-878.732767312988
