Plant ID ,,Taxon,Examiners,Date and time,Plant Stage,Photo,Notes,corolla color,corolla count,corolla length (mm.),corrolla width (mm.),corolla dist. to widest width,corolla shape,corolla margin,corolla hairs/glands,corolla notes,calyx color,calyx count,calyx length (mm.),calyx width (mm.),calyx dist. to widest width,calyx shape,calyx margin,calyx notes,gynoecium count,gynoecium length (mm.),gynoecium hairs/glands,style count,style length (mm.),style width (mm.),style hairs/glands,stigma color,stigma count,stigma length,stigma hairs/glands,ovary count,ovary length (mm.),ovary width (mm.),ovary hairs/glands,anther color,anther count,anther length,anther shape,anther notes,stamen length,stamen notes,filament count,filament length,filament width,filament shape,filament margin,filament hairs/glands,filament notes,inflorescence stalk count,inflorescence stalk length,inflorescence stalk notes,peduncle color,peduncle count,peduncle length,peduncle width,peduncle shape,peduncle hairs/glands,peduncle notes,stem leaves color,stem leaves count,stem leaves length,stem leaves width,stem leaves dist. to widest width,stem leaves shape,stem leaves margin,stem leaves hairs/glands,stem leaves notes,stem leaves sheath length,stem leaf attachment,flower count,flower length,flower width,flower shape,flower hairs/glands,basal leaves color,basal leaves count,basal_leaves_length_mm_min,basal_leaf_length_max,basal leaves width mm  (max) ,basal_leaves_width_max,basal leaves dist. to widest width,basal leaves shape,basal leaves margin,basal leaves notes,
UC7804-T,,L. nevadensis ,Boes,8/25/21,,,,,,13,6,,,,glabrous,,,2,8.5,7,4,ovate,lightly jagged crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,76,,,,56,,linear,glabrous ,,,2,14,2,,linear awl,,glabrous ,,,,,,,,glabrous,,,31,71,,1.7,,linear,,,
UC614395-BL,,L. nevadensis ,Boes,8/25/21,,,,white-or faintly pinkish,,14,4.2,,,,glabrous ,,,2,6,6,3.5,ovate,lightly jagged crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,75,,,,49,,Linear,glabrous ,,,2,11,3.8,,linear awl,,glabrous ,,,,,,,,glabrous ,,,71,106,,3,,linear ,,,
UC614395-C,,L. nevadensis ,Boes,8/25/21,,,,,,14,4,,,,glabrous ,,,2,6.5,6,3,ovate,slightly toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,55,,,,31,,linear,glabrous ,,,2,5,2.5,,awl,,glabrous ,,,,,,,,glabrous ,,,43,52,,1.7,,linear,,,
UC1583992,,L. nevadensis ,Boes,8/25/21,,,,,,10,6,,,,glabrous ,,,2,8,7,5,ovate,crenulate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47,,,,27,,linear ,glabrous ,,,2,9,2,,awl,,glabrous ,,,,,,,,glabrous ,,,65,71,,1.8,,linear,,,
UC642828-BR,,L. nevadensis ,Boes,8/25/21,,,,,,10,3,,,,glabrous ,,,2,6.5,4,4,ovate,shallow crenulate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33,,,,22,,linear,glabrous ,,,2,6,1.5,,linear awl ,,glabrous ,,,,,,,,glabrous ,,,12,55,,1.7,,linear,entire,,
UC217860-TL,,L. nevadensis ,Boes,8/25/21,,,,,,13,5,,,,glabrous ,,,2,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,39,,,,17,,linear,glabrous ,,,2,6,4,,awl,,glabrous ,,,,,,,,glabrous ,,,45,83,,5,,linear-oblanceolate ,,,
UC000032-TC,,L. nevadensis ,Boes,8/25/21,,,,,,11,3,,,,glabrous ,,,2,7,5,4,round ovate ,shallowly toothed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27,,,,25,,linear ,glabrous ,,,2,8.5,2.5,,linear awl ,,glabrous ,,,,,,,,glabrous ,,,48,48,,1,,linear,,,
CAS654805,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,8.5,2.3,,,,glabrous,,,2,3.4,4,2.5,,Dentate/crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,,,,21.2,,linear,glabrous,,,2,3,1,,Awl,,glabrous,,,,,,,,glabrous,,8,22,42,,2,,linear,entire,,
CAS497563,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,11,3,,,,glabrous,,,2,7,4.5,4,round ovate,shallowly crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,52,,,,22,,linear,glabrous,,,2,6.5,1.2,,linear awl,,glabrous,,,,,,,,glabrous,,6,40,54,,2,,linear,entire,,
CAS498208,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,10,3.5,,,,glabrous,,,2,8,5,3.5,round ovate,Dentate/crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,62,,,,60,,linear,glabrous,,,2,16,1,,linerar,,g,,,,,,,,glabrous,,5,46,65,,2,,linear,entire,,
CAS444131_BL,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,12,3.2,,,,glabrous,,,2,8,7,3.5,ovate,shallowly crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,,,,29,,linear,glabrous,,,2,12,2.5,,linear awl,,glabrous,,,,,,,,glabrous,,,39,69,,3,,linear-oblanceolate,entire,,
CAS444140-BL,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,11.5,2.1,,,,glabrous,,,2,5.5,5,3.2,round ovate,shallowly crenate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,,,,24,,linear,glabrous,,,2,9,2,,linear awl,,glabrous,,,,,,,,glabrous,,,40,55,,1,,linear,,,
CAS793622-TR,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,16,6,,,,glabrous,,,2,11,8,6,ovate,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,111,,,,93,,linear,glabrous,,,2,16,2,,linear,,glabrous,,,,,,,,,,,44,117,,2,,linear,entire,,
CAS696619-L,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,17,5,,,,glabrous,,,2,10,8,4.5,ovate,entire to shallow-crenate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,39,,,,29,,,,,,2,13,1.6,,linear,,glabrous,,,,,,,,g,,,36,60,,2.5,,linear-oblanceolate,entire,,
CAS1032744-TR,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,12,4,,,,glabrous,,,2,10,7,4,ovate,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,44,,,,37,,,,,,2,11,3,,subulate,,glabrous,,,,,,,,,,,37,71,,3,,lineAR,,,
CAS826225-BR,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,17,5,,,,glabrous,,,2,8,7,3.5,round ovate,shallowly crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,70,,,,35,,,,,,2,13,3,,subulate,,glabrous,,,,,,,,,,,65,102,,2,,linear,,,
CAS826234-B,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,11,7,,,,glabrous,,,2,10,4,5,ovate,shallowly crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,50,,,,29,,linear,glabrous,,,2,11,2,,subulate,,glabrous,,,,,,,,,,,47,80,,1.5,,linear,,,
CAS826061-TL,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,12,5,,,,gl,,,2,9,4,6,ovate,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,118,,,,78,,,,,,2,19,1,,subulate,,glabrous,,,,,,,,,,,59,100,,3,,linear,,,
CAS454800-L,,L. nevadensis,Boes,8/27/21,flower-fruit,,,,,14,4,,,,,,,2,8,8,4,round ovate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,61,,,,46,,,,,,2,6,2.4,,subulate,,glabrous,,,,,,,,,,,92,115,,10,,oblanceolate,entire,,
UNR-BC-13565,,L. nevadensis,Boes,9/3/21,flower-fruit,,,,,12,4,,,,glabrous,,,2,4.8,4.5,3.2,round ovate,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,60,,,,42,,linear,glabrous,,,2,9,1,,subulate,,glabrous,,,,,,,,,,,52,75,,3,,linear,entire,,
UNR-BC-13567,,L. nevadensis,Boes,9/3/21,flower-fruit,,,,,7,3.2,,,,glabrous,,,2,5.2,4.2,2.5,deltoid,shallowly crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,,,,9,,linear,glabrous,,,2,7,2.2,,subulate,,,,,,,,,,,,,,,,,,linear,entire,,
UNR-BC-69493,,L. nevadensis,Boes,9/3/21,flower-fruit,,,,,16,5.2,,,,glabrous,,,2,10.5,6,6,deltoid-ovate,shallowly crenulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,70,,,,65,,linear,glabrous,,,2,10,3,,subulate,,glabrous,,,,,,,,,,,68,107,,3,,linear,entire,base of leaf with hyaline widening that forms a clasping sort of base,
UNR-BC-13575-top,,L. nevadensis,Boes,9/3/21,flower-fruit,,,,,12,4,,,,glabrous,,,2,7,8,4,round,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,85,,,,65,,linear,glabrous,,,2,12,2,,subulate,,glabrous,,,,,,,,,,,77,110,,9,,oblanceolate,entire,base of leaf with hyaline widening that forms a clasping sort of base,
UNR-BC-13575-bottom,,L. nevadensis,Boes,9/3/21,flower-fruit,,,,,15,4,,,,glabrous,,,2,6,8,4,round,entire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,96,,,,56,,linear,glabrous,,,2,10,2.5,,long subulate,"IMF describes shape as ""narrowly lanceolate""",glabrous,,,,,,,,,,,82,100,,10,,oblanceolate,entire,base of leaf with hyaline widening that forms a clasping sort of base,
UNR-BC-13572-centerleft,,L. nevadensis,Boes,9/3/21,flower-fruit,,,,,6.2,1.5,,,,glabrous,,,2,4.5,4.2,2,deltoid-ovate,shallowly erose-crenate-dentate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,,,23,,linear,glabrous,,,2,7,0.8,,long subulate to narrowly lanceolate,,glabrous,,,,,,,,,,,38,55,,1.3,,linear,entire,base of leaf with hyaline widening that forms a clasping sort of base,
UNR-BC-13578-BL,,L. nevadensis,Boes,9/3/21,flower-fruit,,,,,9,3.2,,,,glabrous,,,2,5.2,4.1,3.4,round-ovate (deltoid),shallowly-crenate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,,,,19,,linear,glabrous,,,2,6,1,,long subulate to narrowly lanceolate,,glabrous,,,,,,,,,,,38,56,,1,,linear,entire,,
UNR-BC-13570-BL,,L. nevadensis,Boes,9/3/21,flower-fruit,,,,,8,3.5,,,,,,,2,5.5,4,4,round deltoid,shallowly erose-crenate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,,,,27,,linear,glabrous,,,2,6,1,,long subulate to narrowly lanceolate,,g,,,,,,,,,,,22,40,,1.5,,linear,entire,,
